"especie","ID","genero","Familia","DIT","size","umbral.mediana"
"Augochlora.pura","M_073","Augochlora","Halictidae",1.64,"Grande",3.55
"Augochlorella.aurata","M_073","","Halictidae",1.405,"Pequena",3.55
"Bombus.bimaculatus","M_073","Bombus","Apidae",4.07,"Grande",3.55
"Bombus.griseocollis","M_073","Bombus","Apidae",4.87,"Grande",3.55
"Bombus.impatiens","M_073","Bombus","Apidae",4.42,"Grande",3.55
"Bombus.impatiens","M_073","Bombus","Apidae",3.38,"Grande",3.55
"Ceratina.calcarata","M_073","Ceratina","Apidae",1.41,"Pequena",3.55
"Halictus.confusus","M_073","Halictus","Halictidae",1.41,"Pequena",3.55
"Lasioglossum.cressonii","M_073","Lasioglossum","Halictidae",1.29,"Pequena",3.55
"Lasioglossum.ephialtum","M_073","Lasioglossum","Halictidae",1.2,"Pequena",3.55
"Lasioglossum.fuscipenne","M_073","Lasioglossum","Halictidae",2.1,"Grande",3.55
"Lasioglossum.hitchensi","M_073","Lasioglossum","Halictidae",1.16,"Pequena",3.55
"Lasioglossum.imitatum","M_073","Lasioglossum","Halictidae",0.98,"Pequena",3.55
"Lasioglossum.macoupinens","M_073","Lasioglossum","Halictidae",1.19,"Pequena",3.55
"Lasioglossum.oblongum","M_073","Lasioglossum","Halictidae",1.23,"Pequena",3.55
"Lasioglossum.obscurum","M_073","Lasioglossum","Halictidae",1.17,"Pequena",3.55
"Lasioglossum.subviridatum","M_073","Lasioglossum","Halictidae",1.2,"Pequena",3.55
"Lasioglossum.tegulare","M_073","Lasioglossum","Halictidae",0.94,"Pequena",3.55
"Megachile.mendica","M_073","Megachile","Megachilidae",3.3,"Grande",3.55
"Andrena.japonica","M_054","Andrena","Andrenidae",1.22,"Pequena",3.55
"Anthidium.septemspinosum","M_054","Anthidium","Megachilidae",3,"Grande",3.55
"Apis.cerana.japonica","M_054","Apis","Apidae",2.38,"Pequena",3.55
"Apis.mellifera","M_054","Apis","Apidae",2.9,"Grande",3.55
"Bombus.ardens","M_054","Bombus","Apidae",4.98,"Grande",3.55
"Bombus.diversus.diversus","M_054","Bombus","Apidae",5.49,"Grande",3.55
"Bombus.diversus.diversus","M_054","Bombus","Apidae",4.79,"Grande",3.55
"Bombus.hypocrita.hypocrita","M_054","Bombus","Apidae",5.4,"Grande",3.55
"Bombus.ignitus","M_054","Bombus","Apidae",6.3,"Grande",3.55
"Ceratina.flavipes","M_054","Ceratina","Apidae",1.71,"Pequena",3.55
"Ceratina.japonica","M_054","Ceratina","Apidae",1.22,"Pequena",3.55
"Lasioglossum.occidens","M_054","Lasioglossum","Halictidae",2.26,"Pequena",3.55
"Lasioglossum.proximatum","M_054","Lasioglossum","Halictidae",2.43,"Pequena",3.55
"Lasioglossum.scitulum","M_054","Lasioglossum","Halictidae",2.31,"Pequena",3.55
"Andrena.japonicum","M_055","Andrena","Andrenidae",1.22,"Pequena",3.55
"Apis.cerana","M_055","Apis","Apidae",2.38,"Pequena",3.55
"Apis.mellifera","M_055","Apis","Apidae",2.9,"Grande",3.55
