"ID","sp.armonizado","Grado","Grado_max","Grado_relativo","Z_Grado"
"M_005","Monumetha argentifrons",1,37,0.027027027027027,-0.480221763033262
"M_005","Mordella melaena",1,37,0.027027027027027,-0.480221763033262
"M_005","Myopa clausa",1,37,0.027027027027027,-0.480221763033262
"M_005","Nathalis iole",1,37,0.027027027027027,-0.480221763033262
"M_005","Nomada sp1 M PL 005",2,37,0.0540540540540541,-0.276423946931183
"M_005","Odynerus annulatus",2,37,0.0540540540540541,-0.276423946931183
"M_005","Omalus sp1 M PL 005",1,37,0.027027027027027,-0.480221763033262
"M_005","Ophion sp1 M PL 005",1,37,0.027027027027027,-0.480221763033262
"M_005","Osmia abnormis",1,37,0.027027027027027,-0.480221763033262
"M_005","Osmia albolateralis",1,37,0.027027027027027,-0.480221763033262
"M_005","Osmia bella",1,37,0.027027027027027,-0.480221763033262
"M_005","Osmia brevis",1,37,0.027027027027027,-0.480221763033262
"M_005","Osmia bruneri",7,37,0.189189189189189,0.742565133579211
"M_005","Osmia coloradella",2,37,0.0540540540540541,-0.276423946931183
"M_005","Osmia densa",9,37,0.243243243243243,1.15016076578337
"M_005","Osmia fulgida",4,37,0.108108108108108,0.131171685272974
"M_005","Osmia hypoleuca",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Osmia megacephala",1,37,0.027027027027027,-0.480221763033262
"M_005","Osmia melanotricha",6,37,0.162162162162162,0.538767317477132
"M_005","Osmia nigrifrons",2,37,0.0540540540540541,-0.276423946931183
"M_005","Osmia pentstemonis",5,37,0.135135135135135,0.334969501375053
"M_005","Osmia phaceliae",5,37,0.135135135135135,0.334969501375053
"M_005","Osmia propinqua",5,37,0.135135135135135,0.334969501375053
