"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Bombus terrestris","M_007",3,10,0.3,0.0898268012494066
"Bombus terrestris","M_028",4,10,0.4,-0.118992823461746
"Bombus terrestris","M_043",3,10,0.3,-0.135526185435788
"Bombus terrestris","M_058",8,13,0.615384615384615,0.384241892370364
"Bombus terrestris","M_006",10,10,1,1.91955444453569
"Bombus terrestris","M_047",1,13,0.0769230769230769,-0.633925273289415
"Bombus terrestris","M_018",5,15,0.333333333333333,0.145023612654339
"Bombus terrestris","M_017",2,5,0.4,-0.486864495560147
"Bombus terrestris","M_029",1,3,0.333333333333333,-0.577350269189626
"Bombus vagans","M_004",8,8,1,3.21313474738923
"Cadeguala occidentalis","M_001",4,16,0.25,-0.22583805989904
"Caenohalictus sp","M_001",11,16,0.6875,1.29422580480604
"Caenohalictus sp","M_002",8,8,1,2.10999839431137
"Caenohalictus sp2","M_001",1,16,0.0625,-0.877294001915503
"Caenohalictus sp3","M_001",1,16,0.0625,-0.877294001915503
"Calliopsis andreniformis","M_062",13,121,0.107438016528926,-0.390839797096268
"Calliopsis coloradensis","M_062",10,121,0.0826446280991736,-0.47961098129479
"Centris aenea","M_059",13,13,1,1.26491106406735
"Centris caxiensis","M_059",10,13,0.769230769230769,0.632455532033676
"Centris cineraria","M_001",15,16,0.9375,2.16283372749466
"Centris cineraria","M_002",3,8,0.375,-0.0305796868740779
"Centris flavifrons","M_059",7,13,0.538461538461538,0
"Centris fuscata","M_059",13,13,1,1.26491106406735
"Centris nigerrima","M_001",4,16,0.25,-0.22583805989904
"Centris nigerrima","M_002",2,8,0.25,-0.458695303111167
"Centris obsoleta","M_059",1,13,0.0769230769230769,-1.26491106406735
"Centris sp","M_001",1,16,0.0625,-0.877294001915503
"Centris tarsata","M_059",10,13,0.769230769230769,0.632455532033676
"Centris trigonoides","M_059",4,13,0.307692307692308,-0.632455532033676
"Ceratina acuta","M_015",12,104,0.115384615384615,0.6657206666406
"Ceratina bispinosa","M_015",8,104,0.0769230769230769,0.239235076219052
"Ceratina calcarata","M_073",21,21,1,2.75446092105996
"Ceratina calcarata","M_025",3,7,0.428571428571429,-0.0533641748800641
"Ceratina cucurbitina","M_016",7,14,0.5,1.39254785016055
"Ceratina cucurbitina","M_058",2,13,0.153846153846154,-0.960604730925909
"Ceratina cucurbitina","M_015",1,104,0.00961538461538462,-0.507114707018657
"Ceratina cyanea","M_016",4,14,0.285714285714286,0.330025791078512
"Ceratina cyanea","M_015",1,104,0.00961538461538462,-0.507114707018657
"Ceratina dallatorreana","M_015",2,104,0.0192307692307692,-0.40049330941327
"Ceratina dentiventris","M_015",8,104,0.0769230769230769,0.239235076219052
"Ceratina dupla","M_062",85,121,0.702479338842975,1.73966862366825
"Ceratina flavipes","M_053",7,15,0.466666666666667,0.0182216179044119
"Ceratina flavipes","M_055",2,6,0.333333333333333,-0.344265186329548
"Ceratina flavipes","M_054",11,23,0.478260869565217,0.416025147168922
"Ceratina flavipes","M_021",1,25,0.04,-0.846043423048847
"Ceratina flavipes","M_057",2,37,0.0540540540540541,-0.935293806195999
"Ceratina japonica","M_021",8,25,0.32,0.024883630089672
