"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Megachile sp1 M PL 051","M_051",1,10,0.1,-0.620841267304183
"Megachile sp1 M PL 056","M_056",1,22,0.0454545454545455,-0.667453166962479
"Megachile sp1 M PL 058","M_058",1,22,0.0454545454545455,-0.895988575349345
"Megachile sp1 M PL 072","M_072",1,66,0.0151515151515152,-0.607086250524498
"Megachile sp2","M_001",6,16,0.375,0.527776315912067
"Megachile sp2","M_002",1,8,0.125,-0.755704334827634
"Megachile sp2 M PL 015","M_015",2,38,0.0526315789473684,-0.491190639739269
"Megachile sp2 M PL 022","M_022",4,7,0.571428571428571,0.438529009653515
"Megachile sp2 M PL 023","M_023",4,4,1,1.84390889145858
"Megachile sp2 M PL 051","M_051",1,10,0.1,-0.620841267304183
"Megachile sp2 M PL 058","M_058",5,22,0.227272727272727,-0.116868075045567
"Megachile sp2 M PL 072","M_072",1,66,0.0151515151515152,-0.607086250524498
"Megachile sp3 M PL 015","M_015",2,38,0.0526315789473684,-0.491190639739269
"Megachile sp3 M PL 072","M_072",3,66,0.0454545454545455,-0.444868871841839
"Megachile sp4","M_002",1,8,0.125,-0.755704334827634
"Megachile sp4 M PL 015","M_015",1,38,0.0263157894736842,-0.65770775023244
"Megachile sp4 M PL 072","M_072",2,66,0.0303030303030303,-0.525977561183168
"Megachile sp5","M_003",3,7,0.428571428571429,-0.198679853559757
"Megachile sp5","M_002",3,8,0.375,0.130293850832351
"Megachile strophostylis","M_062",3,121,0.0247933884297521,-0.614735693890321
"Megachile subalbuta","M_054",5,24,0.208333333333333,0.238529319455491
"Megachile sumizome","M_056",1,22,0.0454545454545455,-0.667453166962479
"Megachile texana","M_005",2,37,0.0540540540540541,-0.504856050835048
"Megachile tsurugensis","M_054",6,24,0.25,0.439575460139404
"Megachile tsurugensis","M_021",3,25,0.12,-0.216040156886283
"Megachile tsurugensis","M_057",6,37,0.162162162162162,0.12975689923324
"Megachile tsurugensis","M_053",2,15,0.133333333333333,-0.371424708162977
"Megachile tsurugensis","M_055",3,12,0.25,-0.046777570019725
"Megachile tsurugensis","M_056",1,22,0.0454545454545455,-0.667453166962479
"Megachile tsururgensis","M_057",1,37,0.027027027027027,-0.526844277609662
"Megachile versicolor","M_047",1,8,0.125,-0.742520131897348
"Megachile vidua","M_005",1,37,0.027027027027027,-0.650347708136215
"Megachile villipes","M_015",1,38,0.0263157894736842,-0.65770775023244
