"ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","esp","Aceptado","sp.armonizado"
"M_046","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Unidentified.sp3.M.PL.046","Unidentified sp3 M PL 046",NA,"Unidentified sp3 M PL 046"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",36,"Episyrphus.balteatus","Episyrphus balteatus",NA,"Episyrphus balteatus"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",3,"Diptera.sp16.M.PL.017","Diptera sp16 M PL 017",NA,"Diptera sp16 M PL 017"
"M_026","Boraginales","Heliotropiaceae","Tournefortia","Tournefortia","Tournefortia.psilostachya",1,"Unidentified.sp9.M.PL.026","Unidentified sp9 M PL 026",NA,"Unidentified sp9 M PL 026"
"M_026","Boraginales","Heliotropiaceae","Tournefortia","Tournefortia","Tournefortia.psilostachya",1,"Leptotes.parrhasioides","Leptotes parrhasioides",NA,"Leptotes parrhasioides"
"M_026","Boraginales","Heliotropiaceae","Tournefortia","Tournefortia","Tournefortia.rufo-sericea",1,"Utetheisa.galapagensis","Utetheisa galapagensis",NA,"Utetheisa galapagensis"
"M_026","Boraginales","Heliotropiaceae","Tournefortia","Tournefortia","Tournefortia.rufo-sericea",1,"Phoebis.sennae","Phoebis sennae",NA,"Phoebis sennae"
"M_026","Boraginales","Heliotropiaceae","Tournefortia","Tournefortia","Tournefortia.rufo-sericea",1,"Disclisioprocta.stellata","Disclisioprocta stellata",NA,"Disclisioprocta stellata"
"M_026","Boraginales","Heliotropiaceae","Tournefortia","Tournefortia","Tournefortia.rufo-sericea",1,"Frankliniella.sp1.M.PL.026","Frankliniella sp1 M PL 026",NA,"Frankliniella sp1 M PL 026"
"M_026","Boraginales","Heliotropiaceae","Tournefortia","Tournefortia","Tournefortia.rufo-sericea",1,"Wasmannia.auropunctata","Wasmannia auropunctata",NA,"Wasmannia auropunctata"
"M_026","Boraginales","Heliotropiaceae","Tournefortia","Tournefortia","Tournefortia.rufo-sericea",1,"Mordellistena.galapagensis","Mordellistena galapagensis",NA,"Mordellistena galapagensis"
"M_026","Boraginales","Heliotropiaceae","Tournefortia","Tournefortia","Tournefortia.rufo-sericea",1,"Unidentified.sp7.M.PL.026","Unidentified sp7 M PL 026",NA,"Unidentified sp7 M PL 026"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Tachytes.mandibularis","Tachytes mandibularis",NA,"Tachytes mandibularis"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Porizon.albipennis","Porizon albipennis",NA,"Porizon albipennis"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Evylaeus.arcuatus","Evylaeus arcuatus",NA,"Evylaeus arcuatus"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Macropis.steironematis","Macropis steironematis",NA,"Macropis steironematis"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Phor.integer","Phor integer",NA,"Phor integer"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Achalarus.lycidas","Achalarus lycidas",NA,"Achalarus lycidas"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Trineura.aterrima","Trineura aterrima",NA,"Trineura aterrima"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Leionotus.fulvipes","Leionotus fulvipes",NA,"Leionotus fulvipes"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Leionotus.molestus","Leionotus molestus",NA,"Leionotus molestus"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Chalcis.flavipes","Chalcis flavipes",NA,"Chalcis flavipes"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Anthocomus.erichsoni","Anthocomus erichsoni",NA,"Anthocomus erichsoni"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Scolia.nobilitata","Scolia nobilitata",NA,"Scolia nobilitata"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Mordella.8.punctata","Mordella 8 punctata",NA,"Mordella 8 punctata"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Ageniella.accepta","Ageniella accepta",NA,"Ageniella accepta"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Psysocephala.texana","Psysocephala texana",NA,"Psysocephala texana"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Peleteria.robusta","Peleteria robusta",NA,"Peleteria robusta"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Rhamphomyia.priapulus","Rhamphomyia priapulus",NA,"Rhamphomyia priapulus"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Clytiomyia.flava","Clytiomyia flava",NA,"Clytiomyia flava"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Chrysis.texana","Chrysis texana",NA,"Chrysis texana"
