"Familia","Family.x","Family.y","genero","especie_genero","DIT.final.final"
"Apidae",NA,NA,"Bombus","Bombus pennsylvanicus",6
"Apidae","Apidae",NA,"Bombus","Bombus pratorum",4.03
"Apidae",NA,NA,"Bombus","Bombus ridingsii",5.44
"Apidae","Apidae",NA,"Bombus","Bombus ruderatus",5.04
"Apidae","Apidae",NA,"Bombus","Bombus rupestris",5.62
"Apidae","Apidae",NA,"Bombus","Bombus soroeensis",3.98
"Apidae","Apidae",NA,"Bombus","Bombus terrestris",4.69
"Apidae",NA,NA,"Bombus","Bombus terrestris lucorum",4.78
"Apidae",NA,NA,"Bombus","Bombus vagans",3.56
"Colletidae",NA,NA,"Cadeguala","Cadeguala occidentalis",3.3
"Andrenidae",NA,NA,"Calliopsis","Calliopsis andreniformis",1.36
"Andrenidae",NA,NA,"Calliopsis","Calliopsis coloradensis",1.65
"Apidae",NA,"Apidae","Centris","Centris aenea",4.7
"Apidae",NA,NA,"Centris","Centris caxiensis",4.2
"Apidae",NA,NA,"Centris","Centris cineraria",5.108
"Apidae",NA,"Apidae","Centris","Centris flavifrons",5.5
"Apidae",NA,"Apidae","Centris","Centris fuscata",4.8
"Apidae",NA,NA,"Centris","Centris nigerrima",4.836
"Apidae",NA,"Apidae","Centris","Centris obsoleta",6.5
"Apidae",NA,"Apidae","Centris","Centris tarsata",3
"Apidae",NA,"Apidae","Centris","Centris trigonoides",3
NA,NA,NA,NA,"Ceratina acuta",1.55
NA,NA,NA,NA,"Ceratina bispinosa",1
"Apidae",NA,NA,"Ceratina","Ceratina calcarata",1.41
NA,NA,NA,NA,"Ceratina cucurbitina",1.43
"Apidae","Apidae",NA,"Ceratina","Ceratina cucurbitina",1.43
"Apidae","Apidae",NA,"Ceratina","Ceratina cyanea",1.35
NA,NA,NA,NA,"Ceratina dallatorreana",1.16
NA,NA,NA,NA,"Ceratina dentiventris",1.13
"Apidae",NA,NA,"Ceratina","Ceratina dupla",1.42
"Apidae",NA,NA,"Ceratina","Ceratina flavipes",1.71
"Apidae",NA,NA,"Ceratina","Ceratina japonica",1.22
NA,NA,NA,NA,"Ceratina loewi",1.76
NA,NA,NA,NA,"Ceratina mocsaryi",1.82
"Apidae","Apidae",NA,"Ceratina","Ceratina nigrolabiata",1.33
"Apidae",NA,NA,"Ceratina","Ceratina okinawana",1.41
NA,NA,NA,NA,"Ceratina parvula",0.77
"Megachilidae",NA,NA,"Chelostoma","Chelostoma appendiculatum",0.95
NA,NA,NA,NA,"Chelostoma campanularum",1
NA,NA,NA,NA,"Chelostoma emarginatum",1.13
NA,NA,NA,NA,"Chelostoma hellenicum",0.96
"Colletidae","Colletidae",NA,"Colletes","Colletes acutus",2.78
"Colletidae",NA,NA,"Colletes","Colletes araucariae",2.417
NA,NA,NA,NA,"Colletes caspicus",3.24
"Colletidae",NA,NA,"Colletes","Colletes compactus",3.143
