"","esp","ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","Aceptado","sp.armonizado","genero.x","genero.y","orden","familia"
"103","Agapostemon texanus","M_062","Asterales","Asteraceae","Cirsium","Cirsium","Cirsium.lanceolatum",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"104","Agapostemon texanus","M_062","Asterales","Asteraceae","Cacalia","Cacalia","Cacalia.reniformis",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"105","Agapostemon texanus","M_062","Malvales","Malvaceae","Abutilon","Abutilon","Abutilon.theophrasti",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"106","Agapostemon texanus","M_062","Solanales","Convolvulaceae","Cuscuta","Cuscuta","Cuscuta.glomerata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"107","Agapostemon texanus","M_062","Asterales","Asteraceae","Aster","Aster","Aster.lateriflorus",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"108","Agapostemon texanus","M_062","Ranunculales","Ranunculaceae","Clematis","Clematis","Clematis.virginiana",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"109","Agapostemon texanus","M_062","Rosales","Rosaceae","Aruncus","Aruncus","Aruncus.sylvester",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"110","Agapostemon texanus","M_062",NA,NA,NA,"Brauneria","Brauneria.purpurea",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"111","Agapostemon texanus","M_062","Brassicales","Brassicaceae","Cardamine","Cardamine","Cardamine.bulbosa",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"112","Agapostemon texanus","M_062","Asterales","Asteraceae","Bidens","Bidens","Bidens.bipinnata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"113","Agapostemon texanus","M_062","Gentianales","Apocynaceae","Asclepias","Asclepias","Asclepias.incarnata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"114","Agapostemon texanus","M_062","Asterales","Asteraceae","Cacalia","Cacalia","Cacalia.atriplicifolia",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"115","Agapostemon texanus","M_062","Lamiales","Lamiaceae","Agastache","Agastache","Agastache.scrophulariaefolia",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"116","Agapostemon texanus","M_062","Alismatales","Araceae","Arisaema","Arisaema","Arisaema.triphyllum",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"117","Agapostemon texanus","M_062","Asterales","Asteraceae","Boltonia","Boltonia","Boltonia.asteroides",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"118","Agapostemon texanus","M_062","Fabales","Fabaceae","Desmodium","Desmodium","Desmodium.bracteosum",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"119","Agapostemon texanus","M_062","Asterales","Asteraceae","Arctium","Arctium","Arctium.minus",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"120","Agapostemon texanus","M_062","Rosales","Rosaceae","Crataegus","Crataegus","Crataegus.coccinea",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"121","Agapostemon texanus","M_062","Asterales","Asteraceae","Aster","Aster","Aster.salicifolius",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"122","Agapostemon texanus","M_062","Asterales","Asteraceae","Chrysanthemum","Chrysanthemum","Chrysanthemum.leucanthemum",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"123","Agapostemon texanus","M_062","Asterales","Asteraceae","Anthemis","Anthemis","Anthemis.cotula",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
